caseref;category;type;country;q;responsible;dead;expire_date;alt_ref;notes;parent_caseref;parent_country;container_caseref;container_country;title;title_official;abstract;description;client_name;client_ref;applicant1_name;applicant2_name;inventor1_name;inventor1_company;inventor2_name;inventor2_company;inventor3_name;inventor3_company;inventor4_name;inventor4_company;inventor5_name;inventor5_company;inventor6_name;inventor6_company;inventor7_name;inventor7_company;inventor8_name;inventor8_company;inventor9_name;inventor9_company;agent_name;agent_ref;filing_date;filing_number;priority_date;priority_country;priority_number;publication_date;publication_number;grant_date;grant_number;entry_date;examination_date;
;UM;;CN;;fz.ye;0;;;;;;;;COB机器人自动上下板;;;COB机器人自动上下板;金宝通电子（深圳）有限公司;;;;黄晓鹏;;刘玉波;;李勇;;;;;;;;;;;;;;深圳市朝闻专利代理事务所(普通合伙);;11/12/2024;2024230490009 ;;;;;;;;;;
011398.00015;;;EP;;fz.ye;0;28/6/2027;;;011398.00063\EP;;;;Conveying Temperature Information In A Controlled Variable Speed Heating, Ventilation, And Air Conditioning (HVAC) System;;;Methods and apparatuses that support the transfer of data from a thermostat unit (100) to a ontroller unit to control a variable speed heating, ventilation, and air conditioning (HVAC) system are disclosed. The duty cycle of a signal that is sent from a thermostat unit (100) to a controller unit is adjusted in accordance with a temperature difference between the ambient temperature of an nvironmentally controlled space and a set temperature, and the controller unit (300) measures the duty ycle to determine the temperature difference and adjusts the speed of a blower motor or compressor in accordance with the temperature difference. The signal is switched on and off, in which the AC waveform is conducted and blocked by the thermostat unit (100) signal, determines the temperature from the duty cycle, and adjusts the speed from a predetermined relationship.;Computime Ltd;;;;HA Wai-Leung;;CHENG Chung Ming ;;LEI Kairy Kai;;;;;;;;;;;;;;Banner & Witcoff ;011398.00063\EP;16/1/2009;07825328.3;;;;25/3/2009;"	EP2038585";16/9/2015;EP2038585B1;;;
;PAT;;EP;;fz.ye;0;16/1/2027;;;011398.00020\EP;;;;Cycle Rate Control Algorithm;;;The present invention controls a room temperature by controlling an environmental control unit. A total span about a setpoint temperature is adjusted in accordance with a previous total span and a multiplicative factor. The multiplicative factor is periodically updated from a desired cycle time and a previous cycle time. The room temperature may also be controlled by adjusting a duty cycle for controlling an environmental control unit. The duty cycle is adjusted based on an error associated with a previous control cycle and an attenuation factor. A new control cycle may be started by cutting the previous control cycle or a current control cycle may be extended if a predetermined condition is detected. The control mode is selected based on environmental characteristics and room characteristics. The control mode may include a span control mode and a duty cycle control mode that is selected from the cycle rate.;Computime Ltd;;;;CHENG Chung Ming ;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00020\EP;16/1/2007;07250147.1;;;;15/8/2007;EP1818751;9/3/2011;EP1818751B1;;;
67809735;PAT;;US;;fz.ye;0;29/9/2038;;;011398.00137\US;;;;Determination of Hydronic Valve Opening Point;;;A controller assembly allows an adjusted flow of water through a hydronic emitter in order to heat or cool an environmental entity. The controller assembly operates in two phases: a calibration phase and an operational phase. During the calibration phase, the controller assembly discovers a valve position where water starts to flow through the hydronic emitter based on signals from a temperature sensor and/or a sound sensor. The temperature sensor may be mounted in close proximity of the emitter inlet so that the controller assembly can detect when the temperature starts to change. The sound sensor may be mounted on the valve body to detect a rushing water sound that is associated with a start of the water flow. The discovered valve position is subsequently used by the controller assembly to adjust water flow between a minimum flow and a maximum flow.;Computime Ltd;;;;SMITH Philip John;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00137\US;20/8/2018;16/105064;;;;20/2/2020;US-2020-0056792-A1;11/8/2020;10739017;;;
011398.00137;PAT;;EP;;fz.ye;0;22/3/2041;;;011398.00200\EP;;;;Determination of Hydronic Valve Opening Point;;;A controller assembly allows an adjusted flow of water through a hydronic emitter in order to heat or cool an environmental entity. The controller assembly operates in two phases: a calibration phase and an operational phase. During the calibration phase, the controller assembly discovers a valve position where water starts to flow through the hydronic emitter based on signals from a temperature sensor and/or a sound sensor. The temperature sensor may be mounted in close proximity of the emitter inlet so that the controller assembly can detect when the temperature starts to change. The sound sensor may be mounted on the valve body to detect a rushing water sound that is associated with a start of the water flow. The discovered valve position is subsequently used by the controller assembly to adjust water flow between a minimum flow and a maximum flow.;Computime Ltd;;;;SMITH Philip John;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00200\EP;22/3/2021;19762073.5;;;;30/6/2021;EP3841332;13/12/2023;EP3841332B1;;;
;;;WO;;fz.ye;1;;;;011398.00168\WO;;;;Determination of Hydronic Valve Opening Point;;;A controller assembly allows an adjusted flow of water through a hydronic emitter in order to heat or cool an environmental entity. The controller assembly operates in two phases: a calibration phase and an operational phase. During the calibration phase, the controller assembly discovers a valve position where water starts to flow through the hydronic emitter based on signals from a temperature sensor and/or a sound sensor. The temperature sensor may be mounted in close proximity of the emitter inlet so that the controller assembly can detect when the temperature starts to change. The sound sensor may be mounted on the valve body to detect a rushing water sound that is associated with a start of the water flow. The discovered valve position is subsequently used by the controller assembly to adjust water flow between a minimum flow and a maximum flow.;Computime Ltd;;;;SMITH Philip John;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00168\WO;20/8/2019;PCT/US2019/047123;;;;27/2/2020;WO2020041220A1;;;;;
011398.00137;;;HK;;fz.ye;0;19/8/2039;;;011398.00199\HK;;;;Determination of Hydronic Valve Opening Point 確定液體循環閥開启點;;;控制器组合件允许调整后的水流通过液体循环发射器，以便加热或冷却环境实体。所述控制器组合件以两个阶段操作：校准阶段和操作阶段。在所述校准阶段期间，所述控制器组合件基于来自温度传感器和/或声音传感器的信号发现水开始流过所述液体循环发射器的阀门位置。所述温度传感器可以紧靠发射器入口安装，使得所述控制器组合件可以检测温度何时开始变化。所述声音传感器可以安装在阀体上，以检测与所述水流的开始相关联的冲水声。所述控制器组合件随后使用所述发现的阀门位置来在最小流量与最大流量之间调整水流。;Computime Ltd;;;;SMITH Philip John;;;;;;;;;;;;;;;;;;HKIPA Limited;011398.00199\HK;26/4/2021;62021029924.9;;;;30/7/2021;HK40040258;26/8/2022;HK40040258;;;
011398.00137;PAT;;CN;;fz.ye;0;;;;011398.00198\CN;;;;Determination of Hydronic Valve Opening Point 確定液體循環閥開启點;;;控制器组合件允许调整后的水流通过液体循环发射器，以便加热或冷却环境实体。所述控制器组合件以两个阶段操作：校准阶段和操作阶段。在所述校准阶段期间，所述控制器组合件基于来自温度传感器和/或声音传感器的信号发现水开始流过所述液体循环发射器的阀门位置。所述温度传感器可以紧靠发射器入口安装，使得所述控制器组合件可以检测温度何时开始变化。所述声音传感器可以安装在阀体上，以检测与所述水流的开始相关联的冲水声。所述控制器组合件随后使用所述发现的阀门位置来在最小流量与最大流量之间调整水流。;金宝通电子（深圳）有限公司;;;;SMITH Philip John;;;;;;;;;;;;;;;;;;深圳市惠邦知识产权代理事务所;011398.00198\CN;20/2/2021;2019800547743;;;;30/3/2021;CN112585407B;17/5/2022;2019800547743;;;
011398.00060;;;UK;;fz.ye;0;4/11/2029;;;011398.00099\GB;;;;Determination Of The Type Of Heating, Ventilating, And Air Conditioning (HVAC) System;;;The present invention provides apparatuses and computer readable media for obtaining information about a heating, ventilating, and air conditioning (HVAC) system and sending the information to a remote networked device. A control circuit deactivates loads of a HVAC system so that a sampling circuit can inject a test signal into the loads. Based on a resulting signal, a processor determines what loads are connected to a thermostat. The processor can consequently determine the type of the HVAC system. The processor may further utilize a lookup table that maps possible values of the resulting signal with different types of HVAC systems. The thermostat may consequently send information about the load configuration to a networked device. The thermostat may further detect a change of the load configuration and notify the networked device and may periodically inject the test signal into the connected loads when the control relays are deactivated.;Computime Ltd;;;;HA Wai-Leung;;LEI Kairy Kai;;HUANG Hao-Hui;;;;;;;;;;;;;;Banner & Witcoff ;011398.00099\GB;10/3/2011;GB1104076.3;;;;13/7/2011;GB2476891;11/2/2015;GB2476891;;;
;;;DE;;fz.ye;1;;;;011398.00098\DE;;;;Determination Of The Type Of Heating, Ventilating, And Air Conditioning (HVAC) System;;;The present invention provides devices and computer readable media for obtaining information concerning a heating, ventilation and air conditioning (HVAC) system and for sending the information to an external networked device. A control circuit deactivates loads of an HVAC system so that a sampling circuit can introduce a test signal into the loads. Based on a resulting signal, a processor determines which loads are connected to the thermostat. The processor can thus determine the type of HVAC system. The processor may also use a look-up table mapping possible values of the resulting signal with different types of HVAC systems. Thus, the thermostat may communicate information regarding the load configuration to a networked device. The thermostat may also detect a change in the load configuration and communicate it to the networked device, and it may periodically insert the test signal into the connected loads when the control relays are deactivated;Computime Ltd;;;;HA Wai-Leung;;LEI Kairy Kai;;HUANG Hao-Hui;;;;;;;;;;;;;;Banner & Witcoff ;011398.00098\DE;5/5/2020;11 2009 002 504.8;;;;;DE112009002504T5;;;;;
93017539;PAT;;US;;fz.ye;0;;;;CPT0003-US;;;;Distributed Machine Learning for a Thermostat ;;;Current thermostat data including room temperature readings, thermostat control commands, and user input temperature set point changes is collected. The current thermostat data is sent from a thermostat to a cloud server that creates and continually updates a first server machine learning model trained using previous and the current thermostat data, a second thermostat machine learning model is created for sending control commands to the thermostat using the previous and the current thermostat data, and the second thermostat machine learning model is updated. The second thermostat machine learning model is updated by sending updated model parameters from the first server machine learning model to the second thermostat machine learning model. One or more new thermostat commands determined from the current thermostat data are received from the second thermostat machine learning model and the one or more new thermostat commands are executed.;Computime Ltd;;;;HA Wai Leung ;;WONG Chi Shing Raymond (;;FAN Pak Ming;;LI Mu;;;;;;;;;;;;KASHA LAW LLC;CPT0003-US;11/4/2024;18/632355;;;;17/10/2024;20240345552;;;;;
;DSG;;US;;fz.ye;0;;;;CPT0305-D;;;;Docking Station for a Thermostat;;;;Computime Ltd;;;;LAM Ching Bo;;;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0305-D;15/9/2023;29/909.827;;;;;;28-Jan-25;D1059194;;;
;DSG;;CN;;fz.ye;0;;;;CPT0305-CN;;;;Docking Station for a Thermostat;;;;;;;;Michael Lam;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0305-CN;;;;;;;;;;;;
;DSG;;EP;;fz.ye;0;;;;CPT0305-EP;;;;Docking Station for a Thermostat;;;;;;;;Michael Lam;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0305-EP;13/2/2024;015050210-0002;;;;;;;;;;
;DSG;;UK;;fz.ye;0;;;;CPT0305-UK;;;;Docking Station for a Thermostat;;;;;;;;;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0305-UK;9/2/2024;6345943.0 ;;;;;;;;;;
39050044;;;US;;fz.ye;1;14/8/2026;;;;;;;Drive Circuits and Methods for Ultrasonic Piezoelectric Actuators;;;A drive circuit for and method of driving a piezoelectric actuator utilizes an impedance coupled to the piezoelectric actuator, wherein the impedance and the piezoelectric actuator together form a tank circuit that has a resonant frequency. A first circuit is provided that drives the actuator at the resonant frequency and a second circuit is further provided that selectively operates the first circuit in one of at least two modes of operation including a first mode that causes the actuator to be energized at a first duty cycle and a second mode that causes the actuator to be energized at a second duty cycle.; Bit 7 Inc , Computime International Ltd , s.c. Johnson & Son Inc;;;; BLANDINO Thomas P;;LUC Tai P;;ZHOU Peter;;;;;;;;;;;;;;;;14/8/2006;11/464,419;;;;1/3/2007;US 20070046143 A1;26/5/2009;7538473 ;;;
97751752;DSG;;US;;fz.ye;0;;;;CPT0301-D;;;;Electric Vehicle Charger;;;;Computime Ltd;;;;LAM Ching Bo;;;;;;;;;;;;;;;;;;;CPT0301-D;20/6/2023;29/878,318;;;;;;25/11/2025;D1103087;;;
;DSG;;US;;fz.ye;0;26/8/2040;;;CPT0303-D;;;;Electric Vehicle Charger Control Box;;;;Computime Ltd;;;;LAM Ching Bo;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0303-D;20/6/2023;29/878,321;;;;;;26/8/2025;USD1090442S1;;;
;DSG;;US;;fz.ye;0;;;;CPT0302-D;;;;Electric Vehicle Charger Control Box;;;;Computime Ltd;;;;LAM Ching Bo;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0302-D;20/6/2023;D/878320;;;;;;23/9/2025;D1094274;;;
011398.00031;;;US;;fz.ye;0;8/4/2030;;;011398.00031\US;;;;Electrical Device With a Selected Orientation for Operation;;;The present invention provides methods and apparatuses for configuring an electrical device to a selected orientation. Direction information that is indicative of the orientation of the electrical device is provided by a directional detection switch. A processor selects a selected orientation from a plurality of permitted orientations by processing the direction information and instructs a display unit to operate in the selected orientation. Different adjacent contacts of a directional detection switch are activated corresponding to different orientation of the electrical device. A conductive ball may be positioned by gravity and consequently conducts an electrical current between two corresponding adjacent contacts based on the orientation of the electrical device. A display unit of an electrical device may include an output component or an input component that is configured based on the orientation of the electrical device.;Computime Ltd;;;;HA Wai-Leung;;LEI Kairy Kai;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00031\US;14/3/2007;11/686006;;;;18/9/2008;US-2008-0228432-A1;16/8/2011;7999789;;;
79172379;PAT;;US;;fz.ye;0;9/7/2040;;;011398.00193\US;;;;Enhancement for Thermostat Programmability;;;A programmable thermostat supports at least one attribute where each different attribute values may support different sets of thermostatic settings. The programmable thermostat may be programmed based on the different attribute values rather than on temperature set points that are traditionally mapped to programmed times. Each set may include settings for a plurality of controlled equipment including a heating/cooling system, fan, ventilator, humidifier, and/or de-humidifier. Each embodiment may support attribute values associated with an occupancy attribute (which is indicative whether or not people are occupying an environmental entity) and/or a scenario attribute (which flexibly maps different thermostatic settings to different scenario attribute values). Stored configuration data about the thermostatic settings may be organized as a tree structure, where the leaves correspond to the thermostatic settings. A programmable thermostat/ventilator controller may also instruct a ventilator system to run during an adjustable pre-occupancy purge time duration before an environmental entity is occupied.;Computime Ltd;;;;CHENG Chung Ming ;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00193\US;8/7/2020;16/923361;;;;13/1/2022;US-2022-0010997-A1;7/6/2022;11353229;;;
79172301;PAT;;US;;fz.ye;0;9/6/2041;;;011398.00194\US;;;;Enhancement for Thermostat Programmability;;;A programmable thermostat supports at least one attribute where each different attribute values may support different sets of thermostatic settings. The programmable thermostat may be programmed based on the different attribute values rather than on temperature set points that are traditionally mapped to programmed times. Each set may include settings for a plurality of controlled equipment including a heating/cooling system, fan, ventilator, humidifier, and/or de-humidifier. Each embodiment may support attribute values associated with an occupancy attribute (which is indicative whether or not people are occupying an environmental entity) and/or a scenario attribute (which flexibly maps different thermostatic settings to different scenario attribute values). Stored configuration data about the thermostatic settings may be organized as a tree structure, where the leaves correspond to the thermostatic settings. A programmable thermostat/ventilator controller may also instruct a ventilator system to run during an adjustable pre-occupancy purge time duration before an environmental entity is occupied.;Computime Ltd;;;;CHENG Chung Ming ;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00194\US;8/7/2020;16/923481;;;;13/1/2022;US-2022-0010998-A1;15/11/2022;11499735;;;
011398.00193;;;WO;;fz.ye;1;;;;011398.00215\WO;;;;Enhancement for Thermostat Programmability;;;A programmable thermostat supports at least one attribute where each different attribute values may support different sets of thermostatic settings. The programmable thermostat may be programmed based on the different attribute values rather than on temperature set points that are traditionally mapped to programmed times. Each set may include settings for a plurality of controlled equipment including a heating/cooling system, fan, ventilator, humidifier, and/or de-humidifier. Each embodiment may support attribute values associated with an occupancy attribute (which is indicative whether or not people are occupying an environmental entity) and/or a scenario attribute (which flexibly maps different thermostatic settings to different scenario attribute values). Stored configuration data about the thermostatic settings may be organized as a tree structure, where the leaves correspond to the thermostatic settings. A programmable thermostat/ventilator controller may also instruct a ventilator system to run during an adjustable pre-occupancy purge time duration before an environmental entity is occupied.;Computime Ltd;;;;CHENG Chung Ming;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00215\WO;8/7/2021;PCT/US2021/040857;;;;13/1/2022;WO2022011121;;;;;
011398.00194;;;WO;;fz.ye;1;;;;011398.00216\WO;;;;Enhancement for Thermostat Programmability;;;A programmable thermostat supports at least one attribute where each different attribute values may support different sets of thermostatic settings. The programmable thermostat may be programmed based on the different attribute values rather than on temperature set points that are traditionally mapped to programmed times. Each set may include settings for a plurality of controlled equipment including a heating/cooling system, fan, ventilator, humidifier, and/or de-humidifier. Each embodiment may support attribute values associated with an occupancy attribute (which is indicative whether or not people are occupying an environmental entity) and/or a scenario attribute (which flexibly maps different thermostatic settings to different scenario attribute values). Stored configuration data about the thermostatic settings may be organized as a tree structure, where the leaves correspond to the thermostatic settings. A programmable thermostat/ventilator controller may also instruct a ventilator system to run during an adjustable pre-occupancy purge time duration before an environmental entity is occupied.;Computime Ltd;;;;CHENG Chung Ming;;;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00216\WO;8/7/2021;PCT/US2021/040864;;;;13/1/2022;WO2022011126;;;;;
;;;EP;;fz.ye;0;;;;011398.00244\EP;;;;Enhancement for Thermostat Programmability;;;A programmable thermostat supports at least one attribute where each different attribute values may support different sets of thermostatic settings. The programmable thermostat may be programmed based on the different attribute values rather than on temperature set points that are traditionally mapped to programmed times. Each set may include settings for a plurality of controlled equipment including a heating/cooling system, fan, ventilator, humidifier, and/or de-humidifier. Each embodiment may support attribute values associated with an occupancy attribute (which is indicative whether or not people are occupying an environmental entity) and/or a scenario attribute (which flexibly maps different thermostatic settings to different scenario attribute values). Stored configuration data about the thermostatic settings may be organized as a tree structure, where the leaves correspond to the thermostatic settings. A programmable thermostat/ventilator controller may also instruct a ventilator system to run during an adjustable pre-occupancy purge time duration before an environmental entity is occupied.;Computime Ltd;;;;CHENG Chung Ming ;;;;;;;;;;;;;;;;;;"	Eisenführ Speiser";011398.00244\EP;8/7/2021;21838162.2;;;;17/5/2023;"	EP4179404";;;;;
;;;EP;;fz.ye;0;;;;011398.00242\EP;;;;Enhancement for Thermostat Programmability;;;A programmable thermostat supports at least one attribute where each different attribute values may support different sets of thermostatic settings. The programmable thermostat may be programmed based on the different attribute values rather than on temperature set points that are traditionally mapped to programmed times. Each set may include settings for a plurality of controlled equipment including a heating/cooling system, fan, ventilator, humidifier, and/or de-humidifier. Each embodiment may support attribute values associated with an occupancy attribute (which is indicative whether or not people are occupying an environmental entity) and/or a scenario attribute (which flexibly maps different thermostatic settings to different scenario attribute values). Stored configuration data about the thermostatic settings may be organized as a tree structure, where the leaves correspond to the thermostatic settings. A programmable thermostat/ventilator controller may also instruct a ventilator system to run during an adjustable pre-occupancy purge time duration before an environmental entity is occupied.;Computime Ltd;;;;CHENG Chung Ming ;;;;;;;;;;;;;;;;;;Eisenführ Speiser;011398.00242\EP;6/2/2023;21837518.6;;;;20/11/2024;EP4179403;;;;;
011398.00216\WO;PAT;;CN;;fz.ye;0;;;;011398.00245\CN;;;;Enhancement for Thermostat Programmability 恒温器可编程性的增强;;;可编程恒温器支持至少一个属性，其中每个不同的属性值可以支持不同组的恒温设置。可编程恒温器可以基于不同的属性值而不是传统上映射到编程时间的温度设置点来编程。每组可包括用于多个受控装备的设置，该多个受控装备包括加热/冷却系统、风扇、通风机、加湿器和/或除湿器。每个实施方案可以支持与占用属性(指示人们是否正在占用环境实体)和/或场景属性(灵活地将不同的恒温设置映射到不同的场景属性值)相关联的属性值。所存储的关于恒温设置的配置数据可以组织为树结构，其中叶子对应于恒温设置。可编程恒温器/通风机控制器还可以指示通风机系统在环境实体被占用前在可调整的占用前吹扫持续时间期间运行。;金宝通电子（深圳）有限公司;;;;明成忠;;;;;;;;;;;;;;;;;;深圳市惠邦知识产权代理事务所;011398.00245\CN;7/3/2023;2021800551426;;;;2/5/2023;CN 116057493 A;5/9/2025;2021800551426 ;;;
011398.00215\WO;;;CN;;fz.ye;0;;;;011398.00243\CN;;;;Enhancement for Thermostat Programmability 恒温器可编程性的增强;;;可编程恒温器支持至少一个属性，其中每个不同的属性值可以支持不同组的恒温设置。可编程恒温器可以基于不同的属性值而不是传统上映射到编程时间的温度设置点来编程。每组可包括用于多个受控装备的设置，该多个受控装备包括加热/冷却系统、风扇、通风机、加湿器和/或除湿器。每个实施方案可以支持与占用属性(指示人们是否正在占用环境实体)和/或场景属性(灵活地将不同的恒温设置映射到不同的场景属性值)相关联的属性值。所存储的关于恒温设置的配置数据可以组织为树结构，其中叶子对应于恒温设置。可编程恒温器/通风机控制器还可以指示通风机系统在环境实体被占用前在可调整的占用前吹扫持续时间期间运行。;金宝通电子（深圳）有限公司;;;;明成忠;;;;;;;;;;;;;;;;;;北京安信方达知识产权代理有限公司;011398.00243\CN;8/3/2023;2021800616416.0;;;;;;;;;;
91474074;PAT;;US;;fz.ye;0;;;;CPT0001-US;;;;EV Charger Holder With Charger Gun Plug-In From Left Or Right Direction;;;An EV charger connector holder includes a housing with a base and cover and at least one removable socket plug. The housing includes a first opening and a second opening. The base includes a base plate, a first base plug-holding structure, and a second base plug-holding structure. The cover includes a first cover plug-holding structure and a second cover plug-holding structure. When the base and the cover are attached, the first base plug-holding structure and the first cover plug-holding structure form a first housing port at the first opening and the second base plug-holding structure and the second cover plug-holding structure form a second housing port at the second opening. The removable socket plug includes an outside structure adapted for fixation to the first housing port or the second housing port and an inside structure adapted for receiving and locking to a first type of electrical connector.;Computime Ltd;;;;SHUM Wai Yin;;HO Michael;;HO Chi Shing ;;HE Da Xian;;;;;;;;;;;;Kasha Law LLC;CPT0001-US;9/10/2023;18/483,102;;;;2/6/2024;20240198825;;;;;
91586111;;;US;;fz.ye;0;;;;CPT0004-PRO;;;;EV Charger Modular Design;;;An EV charger includes a modular housing system that includes a first housing and a second housing. The first housing is adapted to enclose electrical circuitry that connects power source inputs from a power source input cable to EV charging outputs of an EV charging output cable. The first housing includes a first port and a second port. The first housing receives the input cable through the first port and sends the output cable through the second port. The second housing includes multiple ports. The second housing receives the output cable through one of its ports. The second housing further includes an EV charging socket or a tethered EV charger connector for charging an EV. In one embodiment, the second housing can be separated from the first housing using a conduit. In another embodiment, the second housing can be directly connected to the first housing.;Computime Ltd;;;;SHUM Wai Yin;;HO Chi Shing;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0004-PRO;24/1/2024;18/421047;;;;19/12/2024;20240416771;;;;;
;;;EP;;fz.ye;0;;;;CPT0004-EP;;;;EV Charger Modular Design;;;An EV charger includes a modular housing system that includes a first housing and a second housing. The first housing is adapted to enclose electrical circuitry that connects power source inputs from a power source input cable to EV charging outputs of an EV charging output cable. The first housing includes a first port and a second port. The first housing receives the input cable through the first port and sends the output cable through the second port. The second housing includes multiple ports. The second housing receives the output cable through one of its ports. The second housing further includes an EV charging socket or a tethered EV charger connector for charging an EV. In one embodiment, the second housing can be separated from the first housing using a conduit. In another embodiment, the second housing can be directly connected to the first housing.;Computime Ltd;;;;SHUM Wai Yin;;HO Michael;;;;;;;;;;;;;;;;Kahler Käck Mollekopf;CPT0004-EP;18/6/2024;24182812.8;;;;25/12/2024;"	EP4481966";;;;;
;;;US;;fz.ye;0;;;;CPT0006-PRO;;;;EV Charger Socket Locking Design;;;;Computime Ltd;;;;SHUM Wai Yin;;HO Michael;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0006-PRO;29/2/2024;63/559,340;;;;;;;;;;
95747547;;;US;;fz.ye;0;;;;CPT0006-US;;;;EV Charger Socket Locking Design;;;An EV charger locking system includes a plunger, one or more springs, and an electrically controlled actuator. The plunger contacts a lockable portion of an EV charger inserted into a channel of an EV charging socket. When uncompressed, the one or more springs position a tip of the plunger in a return position in or above a hole of the channel. When compressed, the one or more springs apply a force in a second direction to return the tip to the return position. When activated, the actuator applies a mechanical force to the plunger in a first direction to move the tip through the hole and to position the tip in a locking position in the channel to contact the lockable portion. When deactivated, the actuator removes the mechanical force from the plunger, allowing the plunger to be returned to the return position by the one or more springs.;Computime Ltd;;;;SHUM Wai Yin;;HO Michael;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0006-US;12/12/2024;18/978,027;;;;4/9/2025;20250276591;;;;;
;PAT;;CN;;fz.ye;0;;;;;;;;EV充电器充电枪支架及使用方法;;;EV充电器充电枪支架及使用方法;金宝通电子（深圳）有限公司;;;;岑伟贤;;何志诚;;;;;;;;;;;;;;;;深圳市朝闻专利代理事务所(普通合伙);;9/9/2024;2024112536244 ;;;;;;;;;;
;;;US;;fz.ye;0;;;;CPT0007-PRO;;;;Integrate the Room Air-Conditioner Control into a Central HVAC Room thermostat;;;;Computime Ltd;;;;CHAN Jason;;;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0007-PRO;19/3/2024;63/566.935;;;;;;;;;;
;;;US;;fz.ye;0;;;;CPT0007-US;;;;Integrate the Room Air-Conditioner Control into a Central HVAC Room thermostat;;;A central HVAC thermostat controls a central HVAC system of a home. The thermostat further includes a control unit and remote-control device for controlling at least one room HVAC system in a room of the home. The control unit generates control data for the at least one room HVAC system. The remote-control device receives the control data from the control unit. The remote-control device converts the control data to wireless control signals. Finally, the remote-control device sends the wireless control signals to the at least one room HVAC system using a first wireless communication technology. The at least one room HVAC system can include at least one air conditioner or at least one heat pump. The first wireless communication technology can be infrared technology. The control unit further transmits the control data to the remote-control device using a second wireless communication technology.;Computime Ltd;;;;JEPSON Dean Richard;;CHAN Jason;;SO Chi Ming;;;;;;;;;;;;;;Kasha Law LLC;CPT0007-US;25/11/2024;18/958,182;;;;25/9/2025;US-2025-0297760-A1;;;;;
;;;US;;fz.ye;0;;;;CPT-0008-PRO;;;;Integrate Wireless Communication Hvac Device Into Cloud Connected Smart Home System Through Local Network;;;;Computime Ltd;;;;;;;;;;;;;;;;;;;;;;Kasha Law LLC;CPT-0008-PRO;27/3/2024;63/570,278;;;;;;;;;;
;;;US;;fz.ye;0;;;;CPT0008-US;;;;Integrate Wireless Communication Hvac Device Into Cloud Connected Smart Home System Through Local Network;;;A device in the home is connected to a home control system that includes a control system device in the home and one or more servers outside of the home. A device identifier of a device in a home is discovered using a mobile application of a mobile device when the mobile device is in the home. The device is configured to communicate wirelessly via a first protocol of one or more protocols. The device identifier is sent to a control system device in the home using the mobile application. The device identifier is sent through one or more servers in communication with the control system device using a wireless duplex server communication protocol. A control device identifier and an encryption key of the control system device are sent to the device using the mobile application using the first protocol when the mobile device is in the home.;Computime Ltd;;;;CHAN Chi Lung;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0008-US;25/11/2024;18/958184;;;;2/10/2025;20250305701;;;;;
61192306;;;US;;fz.ye;0;17/2/2038;;;011398.00129\US;;;;Integrated Wireless Power Sensor System For Sensing And Control Of Equipment;;;A system utilizes the colocation of the sensing and the control or other powered sections of the product to supplement the environmental conditions in which the energy harvesting sensors operate, thus providing a robust energy source for sensors to operate.;Computime Ltd;;;;JUDGE, Brenton James;;HA Wai-Leung;;KAM Kwok Wa Kenny;;CHAN Chi Lung;;QIAN Gordon;;ZHANG Xiao Jun;;;;;;;;;011398.00129\US;18/8/2017;15/680572;;;;22/2/2018;US-2018-0054092-A1;31/12/2019;10523064;;;
;;;US;;fz.ye;0;;;;CPT0009-PRO;;;;Interactive Human Machine Interface Buttons and Slider;;;;Computime Ltd;;;;CHEUNG Kam Tim;;;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0009-PRO;25/9/2024;63/698,587;;;;;;;;;;
;;;EP;;fz.ye;0;;;;CPT0009-EP;;;;Interactive Human Machine Interface Buttons and Slider;;;;Computime Ltd;;;;;;;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0009-EP;10/9/2025;25 201 331.3;;;;;;;;;;
;PAT;;US;;fz.ye;0;;;;CPT0009-US;;;;Interactive Human Machine Interface Buttons and Slider;;;;;;;;Tim Cheung;;;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0009-US;26/12/2024;18/981,796;;;;;;;;;;
